zipCode,BreedName,topdawgs
10001,Chihuahua,38
10002,Yorkshire Terrier,96
10003,Chihuahua,54
10004,French Bulldog,9
10005,French Bulldog,15
10006,Chihuahua,9
10007,French Bulldog,17
10009,Yorkshire Terrier,107
10010,Yorkshire Terrier,48
10011,Chihuahua,92
10012,Labrador Retriever,44
10013,Labrador Retriever,32
10014,Labrador Retriever,63
10016,Chihuahua,59
10017,Chihuahua,22
10018,Yorkshire Terrier,19
10019,Chihuahua,80
10021,Havanese,66
10022,Shih Tzu,54
10023,Labrador Retriever,116
10024,Labrador Retriever,103
10025,Labrador Retriever,140
10026,Yorkshire Terrier,32
10027,Chihuahua,51
10028,Shih Tzu,70
10029,Yorkshire Terrier,139
10030,Shih Tzu,23
10031,Yorkshire Terrier,36
10032,Yorkshire Terrier,44
10033,Yorkshire Terrier,62
10034,Yorkshire Terrier,37
10035,Chihuahua,42
10036,Yorkshire Terrier,48
10037,Yorkshire Terrier,27
10038,Chihuahua,37
10039,Yorkshire Terrier,29
10040,Yorkshire Terrier,40
10044,Shih Tzu,11
10065,Labrador Retriever,53
10069,Havanese,15
10075,Havanese,36
10119,Yorkshire Terrier,4
10128,Labrador Retriever,91
10162,Havanese,3
10280,Labrador Retriever,17
10282,French Bulldog,12
10301,Labrador Retriever,40
10302,Chihuahua,18
10303,Yorkshire Terrier,32
10304,Yorkshire Terrier,54
10305,Shih Tzu,62
10306,Shih Tzu,104
10307,Yorkshire Terrier,25
10308,Shih Tzu,52
10309,Shih Tzu,76
10310,Yorkshire Terrier,39
10312,Shih Tzu,130
10314,Shih Tzu,127
10451,Yorkshire Terrier,39
10452,Yorkshire Terrier,51
10453,Yorkshire Terrier,45
10454,Yorkshire Terrier,39
10455,Yorkshire Terrier,39
10456,Yorkshire Terrier,56
10457,Yorkshire Terrier,47
10458,Yorkshire Terrier,53
10459,Yorkshire Terrier,53
10460,Yorkshire Terrier,53
10461,Shih Tzu,62
10462,Yorkshire Terrier,105
10463,Yorkshire Terrier,82
10464,Labrador Retriever,10
10465,Shih Tzu,65
10466,Yorkshire Terrier,47
10467,Yorkshire Terrier,83
10468,Yorkshire Terrier,37
10469,Yorkshire Terrier,54
10470,American Pit Bull Terrier/Pit Bull,6
10471,Shih Tzu,21
10472,Yorkshire Terrier,54
10473,Yorkshire Terrier,86
10474,Shih Tzu,14
10475,Yorkshire Terrier,48
10705,Yorkshire Terrier,3
11001,American Pit Bull Terrier/Pit Bull,3
11004,Labrador Retriever,11
11040,Maltese,5
11101,Chihuahua,46
11102,Yorkshire Terrier,30
11103,Chihuahua,24
11104,Chihuahua,31
11105,Chihuahua,29
11106,Shih Tzu,39
11109,Labrador Retriever Crossbreed,11
11201,Labrador Retriever,92
11203,Yorkshire Terrier,41
11204,Yorkshire Terrier,52
11205,Chihuahua,28
11206,Yorkshire Terrier,125
11207,Yorkshire Terrier,79
11208,Yorkshire Terrier,66
11209,Shih Tzu,97
11210,Shih Tzu,27
11211,Chihuahua,57
11212,Yorkshire Terrier,57
11213,American Pit Bull Mix / Pit Bull Mix,36
11214,Yorkshire Terrier,98
11215,Labrador Retriever Crossbreed,107
11216,American Pit Bull Mix / Pit Bull Mix,40
11217,Shih Tzu,50
11218,Yorkshire Terrier,41
11219,Yorkshire Terrier,32
11220,Yorkshire Terrier,79
11221,Chihuahua,68
11222,Chihuahua,47
11223,Shih Tzu,72
11224,Yorkshire Terrier,58
11225,American Pit Bull Mix / Pit Bull Mix,30
11226,Labrador Retriever Crossbreed,45
11228,Shih Tzu,56
11229,Shih Tzu,93
11230,Yorkshire Terrier,38
11231,Labrador Retriever Crossbreed,45
11232,Yorkshire Terrier,31
11233,Yorkshire Terrier,48
11234,Yorkshire Terrier,87
11235,Shih Tzu,73
11236,Yorkshire Terrier,70
11237,Yorkshire Terrier,49
11238,Labrador Retriever,54
11239,Yorkshire Terrier,39
11249,Yorkshire Terrier,25
11354,Yorkshire Terrier,52
11355,Maltese,34
11356,Maltese,21
11357,Maltese,39
11358,Maltese,28
11360,Yorkshire Terrier,19
11361,Chihuahua,29
11362,Shih Tzu,22
11363,Maltese,6
11364,Maltese,27
11365,Maltese,37
11366,Yorkshire Terrier,26
11367,Yorkshire Terrier,35
11368,Yorkshire Terrier,48
11369,Shih Tzu,20
11370,Yorkshire Terrier,19
11372,Shih Tzu,56
11373,Shih Tzu,58
11374,Chihuahua,30
11375,Yorkshire Terrier,60
11377,Yorkshire Terrier,57
11378,Yorkshire Terrier,47
11379,Shih Tzu,48
11385,Yorkshire Terrier,98
11411,Shih Tzu,13
11412,Shih Tzu,24
11413,Yorkshire Terrier,26
11414,Yorkshire Terrier,35
11415,Yorkshire Terrier,23
11416,Yorkshire Terrier,18
11417,Yorkshire Terrier,32
11418,Yorkshire Terrier,26
11419,Yorkshire Terrier,15
11420,Yorkshire Terrier,26
11421,Yorkshire Terrier,37
11422,Yorkshire Terrier,24
11423,Shih Tzu,11
11426,Labrador Retriever,12
11427,Shih Tzu,16
11428,Maltese,9
11429,Shih Tzu,18
11432,Shih Tzu,24
11433,Yorkshire Terrier,22
11434,Yorkshire Terrier,33
11435,Yorkshire Terrier,36
11436,Shih Tzu,14
11691,Yorkshire Terrier,23
11692,Yorkshire Terrier,23
11693,Yorkshire Terrier,24
11694,Shih Tzu,30
11697,Labrador Retriever,6
